"Name","Shaders","Code Size","Pipelines"
"WorldGridMaterial","883","30971908","46"
"DefaultDeferredDecalMaterial","93","5866960","0"
"DefaultLightFunctionMaterial","46","1730128","0"
"DefaultPostProcessMaterial","10","339724","0"
"M_ChromeBall","39","1713264","0"
"MatineeCam_mat","16","699800","0"
"DefaultTextMaterialOpaque","35","1182920","3"
"m_SimpleVolumetricCloud","72","4842016","0"
"HelpActorMaterial","65","2419572","9"
"WorldPartitionSpatialHashGridPreviewMaterial","6","197836","0"
"Widget3DPassThrough","74","2475964","7"
"SnapGridMaterial","14","668556","0"
"TransformGizmoMaterial","6","221644","0"
"TranslucentTransformGizmoMaterial","5","285612","0"
"Main","5","285600","0"
"Xray","16","686376","0"
"M_VolumeRenderSphereTracePP","6","189120","0"
"CineMat","30","1324672","0"
"M_SimpleOpaque","16","686376","0"
"M_SimpleUnlitTranslucent","5","282332","0"
"SkySphereMaterial","25","1085368","0"
"FloorPlaneMaterial","25","1085368","0"
"SplineEditorMeshMat","21","721156","2"
"LandscapeGizmo_Mat","23","636624","3"
"LandscapeGizmoHeight_Mat","48","1974136","3"
"DefaultSpriteMaterial","121","5119196","13"
"ControlRigXRayMaterial","11","436768","1"
"M_Manip","11","335728","1"
"BaseColor","6","179464","0"
"CustomDepth","6","179800","0"
"CustomStencil","6","186944","0"
"FinalImage","6","153980","0"
"LightingModel","6","179764","0"
"MaterialAO","6","176584","0"
"Metallic","6","179516","0"
"Opacity","6","179684","0"
"Roughness","6","179568","0"
"Anisotropy","6","179856","0"
"SceneColor","6","179304","0"
"SceneDepth","6","179800","0"
"SeparateTranslucencyRGB","6","179280","0"
"SeparateTranslucencyA","6","179280","0"
"Specular","6","179456","0"
"SubsurfaceColor","6","179928","0"
"WorldNormal","6","179560","0"
"WorldTangent","6","179888","0"
"AmbientOcclusion","7","247564","0"
"CustomDepthWorldUnits","6","180788","0"
"SceneDepthWorldUnits","6","179788","0"
"Velocity","6","180460","0"
"PreTonemapHDRColor","6","153980","0"
"PostTonemapHDRColor","6","153980","0"
"SpeedTreeMaster","96","4242084","6"
"SpeedTreeBillboardMaster","70","3018988","6"
"HighResScreenshot","7","248432","0"
"HighResScreenshotMask","7","248128","0"
"HighResScreenshotCaptureRegion","6","180664","0"
"WireframeMaterial","491","14338964","67"
"LevelColorationLitMaterial","795","29124020","46"
"LevelColorationUnlitMaterial","449","13278104","46"
"MAT_LevelColorationLitLightmapUV","795","29354192","46"
"ShadedLevelColorationLitMaterial","795","29163552","46"
"ShadedLevelColorationUnlitMateri","449","13295000","46"
"VertexColorMaterial","94","3854316","5"
"VertexColorViewMode_ColorOnly","24","899908","0"
"VertexColorViewMode_AlphaAsColor","20","730716","0"
"VertexColorViewMode_RedOnly","20","730368","0"
"VertexColorViewMode_GreenOnly","20","730420","0"
"VertexColorViewMode_BlueOnly","20","730428","0"
"NaniteHiddenSectionMaterial","33","1173464","3"
"RemoveSurfaceMaterial","6","210052","0"
"DebugMeshMaterial","7","322940","0"
"EmissiveMeshMaterial","7","327568","0"
"M_InvalidLightmapSettings","32","1408388","0"
"GizmoMaterial","10","322276","1"
"PhAT_JointLimitMaterial","11","443516","1"
"GeomMaterial","5","282332","0"
"EditorBrushMaterial","5","282164","0"
"BoneWeightMaterial","39","1747100","0"
"ClothMaterial","11","342504","1"
"ClothMaterial_WF","11","342708","1"
"DebugEditorMaterial","10","320196","1"
"PhysicalMaterialMaskMaterial","94","3902520","5"
"TexturePaintingMaskMaterial","185","6816680","10"
"PreviewShadowIndicatorMaterial","46","1769656","0"
"FlattenMaterial","55","2705268","0"
"FlattenMaterial_VT","55","2705268","0"
"FlattenMaterial_WS_Normal_VT","55","2670512","0"
"PhAT_UnselectedMaterial","5","284124","0"
"PhAT_NoCollisionMaterial","5","283964","0"
"Cross_Mat","23","823060","3"
"PhAT_BoneSelectedMaterial","5","284040","0"
"PhAT_ElemSelectedMaterial","5","284060","0"
"Tick_Mat","23","823056","3"
"WidgetGridVertexColorMaterial_Ma","7","225828","0"
"WidgetMaterial","10","320388","1"
"WidgetMaterial_Current","10","320356","1"
"WidgetMaterial_X","10","320428","1"
"WidgetMaterial_Y","10","320428","1"
"WidgetMaterial_Z","10","320504","1"
"WidgetVertexColorMaterial","7","217816","0"
"LevelGridMaterial","23","670312","3"
"BlinkingCaret","5","288200","0"
"DefaultMaterial","143","6765116","0"
"M_StreamingPause","5","288832","0"
"M_DynamicMeshComponentVtxColor","22","871532","2"
"DefaultLitSpriteMaterial","35","1396328","3"
"MAT_GridBase","20","1359468","0"
"BasicShapeMaterial","89","4145992","0"
"M_ProcGrid","26","1299288","0"
"M_SimpleSkyDome","6","223176","0"
"M_Sky_Panning_Clouds2","14","516348","0"
"0_2","35","1376852","3"
"1_2","35","1376852","3"
"LevelGridMaterial2","23","834768","3"
"M-Water","20","892848","2"
"M-ClayLandscape","176","6793464","0"
"M-RVTGrass","24","917328","0"
"M-ClayMaster","46","1662888","4"
"M-CloudShadows","54","2099268","0"
"M-KuwaharaFilter","12","353384","0"
"M-Outline","12","305064","0"
"M-AmbientDust","24","1183800","4"
"M-WindParticles","12","714600","0"
"DefaultParticle","128","4864756","18"
"M_SkyBox","6","219068","0"
"GridMaterial","16","685512","0"
"LayerVisMaterial","24","864816","0"
"AlphaBrushMaterial","24","1282100","0"
"ColorMaskBrushMaterial","24","1262608","0"
"SelectBrushMaterial","48","2526160","0"
"CircleBrushMaterial","120","6332040","0"
"LandscapeDirtyMaterial","24","1265352","0"
"MaskBrushMaterial","48","2542248","0"
"LandscapeLayerUsageMaterial","24","896736","0"
"FlattenHeightMat","7","325936","0"
"MirrorPlaneMaterial","7","325944","0"
"Material_0","40","1348600","0"
"PersonaFloorMat","25","1131940","0"
"FMatExpressionPreview MaterialExpressionVectorParameter_12","4","136320","0"
"FMatExpressionPreview MaterialExpressionVectorParameter_13","4","136320","0"
"FMatExpressionPreview MaterialExpressionVectorParameter_14","4","136320","0"
"FMatExpressionPreview MaterialExpressionVectorParameter_15","4","136320","0"
"FMatExpressionPreview MaterialExpressionVectorParameter_16","4","136320","0"
"FMatExpressionPreview MaterialExpressionConstant3Vector_3","4","135008","0"
"FMatExpressionPreview MaterialExpressionVectorParameter_17","4","136320","0"
"FMatExpressionPreview MaterialExpressionTextureSample_7","8","281200","0"
"FMatExpressionPreview MaterialExpressionTextureSample_5","4","139904","0"
"FMatExpressionPreview MaterialExpressionTextureSample_0","8","283704","0"
"FMatExpressionPreview MaterialExpressionTextureSample_8","4","139576","0"
"FMatExpressionPreview MaterialExpressionTextureSample_1","4","142496","0"
"FMatExpressionPreview MaterialExpressionTextureSample_2","4","140200","0"
"Total","8323","314153920","481"
